,precision,recall,f1-score,support
airplane,0.7712287712287712,0.772,0.7716141929035483,1000.0
automobile,0.8766839378238342,0.846,0.8610687022900764,1000.0
bird,0.6444223107569721,0.647,0.6457085828343313,1000.0
cat,0.6161369193154034,0.504,0.5544554455445545,1000.0
deer,0.685361216730038,0.721,0.702729044834308,1000.0
dog,0.6632860040567952,0.654,0.6586102719033232,1000.0
frog,0.7924170616113744,0.836,0.813625304136253,1000.0
horse,0.76937441643324,0.824,0.7957508450024143,1000.0
ship,0.8306063522617901,0.863,0.8464933791074056,1000.0
truck,0.817641228939544,0.825,0.821304131408661,1000.0
accuracy,0.7492,0.7492,0.7492,0.7492
macro avg,0.7467158219157762,0.7492,0.7471359899964876,10000.0
weighted avg,0.7467158219157762,0.7492,0.7471359899964876,10000.0
