,precision,recall,f1-score,support
airplane,0.8191593352883676,0.838,0.8284725654967869,1000.0
automobile,0.8881388621022179,0.921,0.9042709867452136,1000.0
bird,0.7869222096956031,0.698,0.7397986221515633,1000.0
cat,0.7620286085825748,0.586,0.6625211984171848,1000.0
deer,0.7914937759336099,0.763,0.7769857433808554,1000.0
dog,0.8264150943396227,0.657,0.732033426183844,1000.0
frog,0.6873614190687362,0.93,0.7904802379940501,1000.0
horse,0.8349705304518664,0.85,0.8424182358771061,1000.0
ship,0.8995901639344263,0.878,0.888663967611336,1000.0
truck,0.766553480475382,0.903,0.8292011019283747,1000.0
accuracy,0.8024,0.8024,0.8024,0.8024
macro avg,0.8062633479872406,0.8024000000000001,0.7994846085786315,10000.0
weighted avg,0.8062633479872408,0.8024,0.7994846085786315,10000.0
